servercomp	clientcomp	write	read	lossless	ratio	sd
j1	un	0.02441	0.0071600000000001	true	0.38845613490311	0
j2	un	0.025	0.0076099999999997	true	0.39641232850256	0
j3	un	0.01991	0.0077699999999999	false	0.25862741459683	1.7342203481451
j4	un	0.024419999999999	0.007109999999999	false	0.25863877517789	1.7342203481451
j450	un	0.0199	0.0052300000000002	false	0.08962362394962	9.8653986295307
j5	un	0.03716	0.01088	false	0.24455544152898	1.7342203481451
j6	un	0.03751	0.010890000000001	false	0.24455544152898	1.7342203481451
js	un	0.03093	0.01625	true	0.31892180512059	0
j7	un	0.03082	0.016270000000001	true	0.31892180512059	0
j702	un	0.03169	0.01384	false	0.12283060237588	5.1254188836876
j710	un	0.03101	0.01376	false	0.12283060237588	5.1254188836876
j720	un	0.026220000000001	0.01385	false	0.12915844602399	4.4652871454224
j740	un	0.02708	0.01461	false	0.14580548413116	3.4634085218399
j780	un	0.03244	0.014880000000001	false	0.20776609320978	1.2784322805394
n2	un	0.014599999999999	0.003649999999999	true	0.42075047998455	0
n3	un	0.0153	0.0028300000000002	true	0.4187207228359	0
n4	un	0.01504	0.0037	true	0.41874344399802	0
jk	un	0.08793	0.05471	true	0.33431539245127	0
jl	un	0.09749	0.08064	false	0.33261130529289	0.81325462950014
jl25	un	0.09511	0.062429999999999	false	0.19337981073272	1.9650788024396
jl10	un	0.09409	0.047090000000001	false	0.081671217210523	7.5405880552373
jl05	un	0.09309	0.042180000000001	false	0.044544838319997	11.902707262064
