servercomp	clientcomp	write	read	lossless	ratio	sd
j1	un	0.01619	0.0041	TRUE	0.354447863	0
j2	un	0.0171	0.00468	TRUE	0.33623539	0
j3	un	0.0157	0.00376	FALSE	0.224607794	1.452209044
j4	un	0.01571	0.00387	FALSE	0.224607794	1.452209044
j450	un	0.01447	0.00324	FALSE	0.095539278	7.116925904
j5	un	0.02021	0.00512	FALSE	0.213558386	1.452209044
j6	un	0.02031	0.005	FALSE	0.213558386	1.452209044
js	un	0.01816	0.00719	TRUE	0.26785289	0
j7	un	0.01799	0.0071	TRUE	0.267814789	0
j702	un	0.01516	0.00444	FALSE	0.096082223	4.580678209
j710	un	0.01011	0.00435	FALSE	0.096101274	4.580678209
j720	un	0.01564	0.00465	FALSE	0.101778383	4.254962014
j740	un	0.01676	0.00527	FALSE	0.114951945	3.551871632
j780	un	0.01897	0.0068	FALSE	0.163664593	1.280489479
n2	un	0.01284	0.00249	TRUE	0.44900603	0
n3	un	0.01305	0.00232	TRUE	0.373289009	0
n4	un	0.01239	0.00261	TRUE	0.373346161	0
jk	un	0.04063	0.0217	TRUE	0.289865978	0
jl	un	0.04484	0.03217	FALSE	0.282331425	0.749846104
jl25	un	0.04478	0.02804	FALSE	0.207881276	1.081844057
jl10	un	0.04444	0.02151	FALSE	0.098187326	3.440848378
jl05	un	0.04359	0.01886	FALSE	0.062429155	8.283331832
